frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
241,4.015914481897628,164,1424,455,1494,309.5,1459.0,954.5
242,4.032578027465668,163,1437,456,1504,309.5,1470.5,966.0
243,4.049241573033708,162,1431,454,1498,308.0,1464.5,960.0
244,4.065905118601748,162,1413,454,1480,308.0,1446.5,942.0
245,4.082568664169788,168,1378,452,1449,310.0,1413.5,909.0
246,4.099232209737828,174,1327,438,1400,306.0,1363.5,859.0
247,4.115895755305868,179,1241,437,1334,308.0,1287.5,783.0
248,4.132559300873908,186,1152,431,1248,308.5,1200.0,695.5
249,4.149222846441948,183,1056,430,1151,306.5,1103.5,599.0
250,4.165886392009988,190,959,423,1052,306.5,1005.5,501.0
251,4.1825499375780275,183,855,425,956,304.0,905.5,401.0
252,4.1992134831460675,180,761,422,862,301.0,811.5,307.0
253,4.215877028714107,173,674,432,772,302.5,723.0,218.5
254,4.232540574282147,170,576,429,695,299.5,635.5,131.0
255,4.249204119850187,161,543,434,634,297.5,588.5,84.0
256,4.265867665418227,153,502,436,583,294.5,542.5,38.0
257,4.282531210986267,152,464,440,541,296.0,502.5,-2.0
258,4.299194756554307,149,440,447,513,298.0,476.5,-28.0
259,4.315858302122347,150,431,449,504,299.5,467.5,-37.0
260,4.332521847690387,152,439,450,513,301.0,476.0,-28.5
261,4.349185393258427,160,458,447,548,303.5,503.0,-1.5
262,4.365848938826467,167,508,441,599,304.0,553.5,49.0
263,4.382512484394507,175,572,432,670,303.5,621.0,116.5
264,4.399176029962547,184,650,430,749,307.0,699.5,195.0
265,4.415839575530587,181,752,425,842,303.0,797.0,292.5
266,4.432503121098627,188,838,434,938,311.0,888.0,383.5
267,4.449166666666667,184,935,429,1030,306.5,982.5,478.0
268,4.465830212234707,191,1028,437,1117,314.0,1072.5,568.0
269,4.482493757802747,186,1105,434,1204,310.0,1154.5,650.0
270,4.499157303370787,188,1190,443,1280,315.5,1235.0,730.5
271,4.5158208489388265,186,1266,448,1358,317.0,1312.0,807.5
272,4.5324843945068665,178,1345,448,1426,313.0,1385.5,881.0
273,4.549147940074906,171,1403,456,1471,313.5,1437.0,932.5
274,4.565811485642946,162,1433,458,1502,310.0,1467.5,963.0
275,4.582475031210986,160,1445,457,1514,308.5,1479.5,975.0
276,4.599138576779026,160,1437,456,1505,308.0,1471.0,966.5
277,4.615802122347066,164,1401,448,1472,306.0,1436.5,932.0
278,4.632465667915106,173,1343,440,1422,306.5,1382.5,878.0
